Gross weight of truck,Leg Distance,Load of leg (lbs),Leg Unloading Hrs
6041.037055,28.30532453,866.3212063,0.538494949
5922.086485,104.6573461,2610.646276,0.616020202
5922.086485,30.24291631,2637.440209,0.617212121
5922.086485,100.3951826,674,0.529949495
9608.272442,54.57049896,3352.342634,0.648989899
9608.272442,21.14534719,2134.265,0.594848485
9608.272442,80.36120488,4121.664808,0.683181818
10780.14132,26.69164862,3596.991425,0.659858586
10780.14132,29.90189875,3222.488928,0.643212121
10780.14132,31.52735029,3960.660967,0.676020202
12109.48633,42.96436615,5414.616,0.740646465
12109.48633,131.0212315,4361.653333,0.693848485
12109.48633,36.94695861,2333.217,0.60369697
15888.51525,21.83044443,5123.692,0.727717172
15888.51525,33.10220649,5001.325,0.722272727
15888.51525,39.62727328,5763.49825,0.756151515
14865.51628,223.9280024,6054.533043,0.769080808
14865.51628,255.1899879,2878.310667,0.627919192
14865.51628,85.41170457,5932.672571,0.763666667
6739.43131,79.2145859,5338.218955,0.737252525
6739.43131,150.5963185,1401.212356,0.562272727
7352.667415,78.8144444,4935,0.719333333
7352.667415,7.686580526,2417.667415,0.607444444
18453.85365,10.67242183,3911.2944,0.673828283
18453.85365,38.94256872,7271.279626,0.823161616
8637.238475,80.71899047,3594.574368,0.659757576
8637.238475,162.9164935,5042.664106,0.724111111
15892.94405,81.40553357,5624.162604,0.749959596
15892.94405,56.69169199,4584.599218,0.703757576
15892.94405,158.351619,5684.182231,0.752626263
11902.5232,137.3689344,2925.921847,0.630040404
11902.5232,93.1962877,5221.292552,0.732050505
11902.5232,120.4571282,3755.3088,0.66689899
17999.32942,29.13887952,3553.54488,0.657929293
17999.32942,38.00383482,11623.51254,1.01659596
17999.32942,135.9068559,2822.272,0.625424242
20525.08119,32.44302317,10748.8628,0.977717172
20525.08119,112.2333582,6299.880493,0.779989899
20525.08119,19.7839424,3476.337893,0.654494949
18824.7373,52.56468017,12666.05707,1.062929293
18824.7373,89.56064795,6158.680235,0.773717172
7580.777515,3.10333331,1726.804598,0.576737374
7580.777515,91.54675659,1137.99125,0.550575758
7580.777515,44.30356024,4715.981667,0.70959596
7384.159753,13.71415295,1200.642717,0.553353535
7384.159753,89.49334525,3209.43925,0.642636364
7384.159753,122.2887703,2974.077786,0.632171717
7288.737071,22.65776142,2019.145,0.589737374
7288.737071,77.66444116,2500.422966,0.611121212
7288.737071,43.03665967,2769.169105,0.623070707
9226.926826,10.67242183,1955.6472,0.586909091
9226.926826,38.94256872,3635.639813,0.661575758
9611.308592,23.08236125,1967.830235,0.587454545
9611.308592,38.21174648,2657.0645,0.618090909
9611.308592,87.07669622,4986.413857,0.721616162
9394.377663,41.21262698,1976.170062,0.587828283
9394.377663,97.9226328,5442.037538,0.741858586
17005.34073,35.86610766,5974.5752,0.765535354
17005.34073,87.39074502,11030.76553,0.990252525
14793.36104,81.40553357,5624.162604,0.749959596
14793.36104,56.69169199,9169.198437,0.907515152
17724.50594,98.6652129,11313.997,1.002838384
17724.50594,102.5926398,4514.09969,0.700626263
15477.85029,78.50560201,13210.40625,1.087121212
15477.85029,259.2860247,4163.853292,0.685050505
6157.776044,9.511511132,1384.375711,0.561525253
6157.776044,18.38470427,1732.642413,0.577
6157.776044,73.47255523,3040.75792,0.635141414
4479.3624,72.79696675,2037.8604,0.590565657
4479.3624,184.7161982,2441.502,0.608505051
8360.186943,15.4405567,1273.388611,0.556585859
8360.186943,54.99662826,3864.309404,0.671737374
8360.186943,19.12428984,3222.488928,0.643212121
12206.97085,145.1322082,9687.352209,0.930545455
12206.97085,108.7564952,2519.61864,0.611979798
13112.36899,256.2195099,5169.125349,0.729737374
13112.36899,9.550941497,4496.957304,0.699858586
13112.36899,59.76781947,3446.286341,0.653161616
16314.32491,10.55384046,8913.234386,0.896141414
16314.32491,97.67591826,6459.248,0.787070707
11916.32232,44.86221374,7401.090522,0.828929293
11916.32232,68.26298407,5457.074317,0.742535354
10583.48757,24.94580385,1732.642413,0.577
10583.48757,34.3625398,4193.025627,0.686353535
10583.48757,60.08463107,4657.819535,0.707010101
20322.33821,54.79507212,10539.83526,0.968434343
20322.33821,27.62331757,4502.857579,0.700121212
20322.33821,164.9815419,5279.645367,0.734646465
13805.78699,6.373433938,2898.867556,0.628838384
13805.78699,30.45138042,3635.639813,0.661575758
14628.34139,39.25585718,7736.097796,0.843818182
14628.34139,116.80721,1512.560796,0.567222222
14628.34139,49.69603551,5379.6828,0.739090909
19640.39696,67.86697759,10884.07508,0.983727273
